@relation fire_vs_nofire
@attribute filename string
@attribute class {FIRE,NOFIRE}
@data
img_100_fire.jpg,FIRE
img_1010_nofire.jpg,NOFIRE
img_1029_nofire.jpg,NOFIRE
img_102_fire.jpg,FIRE
img_1038_nofire.jpg,NOFIRE
img_104_fire.jpg,FIRE
img_1050_nofire.jpg,NOFIRE
img_1065_nofire.jpg,NOFIRE
img_107_fire.jpg,FIRE
img_108_fire.jpg,FIRE
img_1093_nofire.jpg,NOFIRE
img_109_fire.jpg,FIRE
img_1104_nofire.jpg,NOFIRE
img_1112_nofire.jpg,NOFIRE
img_1117_nofire.jpg,NOFIRE
img_112_fire.jpg,FIRE
img_1133_nofire.jpg,NOFIRE
img_1137_nofire.jpg,NOFIRE
img_113_fire.jpg,FIRE
img_114_fire.jpg,FIRE
img_1158_nofire.jpg,NOFIRE
img_1160_nofire.jpg,NOFIRE
img_116_fire.jpg,FIRE
img_1173_nofire.jpg,NOFIRE
img_1187_nofire.jpg,NOFIRE
img_118_fire.jpg,FIRE
img_121_fire.jpg,FIRE
img_1224_nofire.jpg,NOFIRE
img_1226_nofire.jpg,NOFIRE
img_1254_nofire.jpg,NOFIRE
img_1264_nofire.jpg,NOFIRE
img_1265_nofire.jpg,NOFIRE
img_1278_nofire.jpg,NOFIRE
img_12_nofire.jpg,NOFIRE
img_1329_nofire.jpg,NOFIRE
img_132_fire.jpg,FIRE
img_1343_nofire.jpg,NOFIRE
img_138_nofire.jpg,NOFIRE
img_1395_nofire.jpg,NOFIRE
img_1411_nofire.jpg,NOFIRE
img_1414_nofire.jpg,NOFIRE
img_144_nofire.jpg,NOFIRE
img_1474_nofire.jpg,NOFIRE
img_1494_nofire.jpg,NOFIRE
img_1502_nofire.jpg,NOFIRE
img_1528_nofire.jpg,NOFIRE
img_1547_nofire.jpg,NOFIRE
img_1560_nofire.jpg,NOFIRE
img_1568_nofire.jpg,NOFIRE
img_1590_nofire.jpg,NOFIRE
img_1601_nofire.jpg,NOFIRE
img_1602_nofire.jpg,NOFIRE
img_1603_nofire.jpg,NOFIRE
img_1621_nofire.jpg,NOFIRE
img_1639_nofire.jpg,NOFIRE
img_163_fire.jpg,FIRE
img_1655_nofire.jpg,NOFIRE
img_1662_fire.jpg,FIRE
img_1665_fire.jpg,FIRE
img_1667_fire.jpg,FIRE
img_1671_fire.jpg,FIRE
img_1672_fire.jpg,FIRE
img_1673_fire.jpg,FIRE
img_1675_fire.jpg,FIRE
img_1679_fire.jpg,FIRE
img_167_fire.jpg,FIRE
img_1680_fire.jpg,FIRE
img_1681_fire.jpg,FIRE
img_1682_fire.jpg,FIRE
img_1684_fire.jpg,FIRE
img_1685_fire.jpg,FIRE
img_1686_fire.jpg,FIRE
img_1695_fire.jpg,FIRE
img_1699_fire.jpg,FIRE
img_169_fire.jpg,FIRE
img_1703_fire.jpg,FIRE
img_1705_fire.jpg,FIRE
img_1706_fire.jpg,FIRE
img_1709_fire.jpg,FIRE
img_1710_fire.jpg,FIRE
img_1711_fire.jpg,FIRE
img_1728_nofire.jpg,NOFIRE
img_1735_nofire.jpg,NOFIRE
img_174_fire.jpg,FIRE
