@relation fire_vs_nofire
@attribute filename string
@attribute class {FIRE,NOFIRE}
@data
smartforest-dev-ptz_20211026-190944_nofire.jpg,NOFIRE
smartforest-dev-ptz_20211026-190955_nofire.jpg,NOFIRE
smartforest-dev-ptz_20211026-191005_nofire.jpg,NOFIRE
smartforest-dev-ptz_20211026-191016_nofire.jpg,NOFIRE
smartforest-dev-ptz_20211026-191026_nofire.jpg,NOFIRE
smartforest-dev-ptz_20211026-191037_nofire.jpg,NOFIRE
smartforest-dev-ptz_20211026-191058_fire.jpg,FIRE
smartforest-dev-ptz_20211026-191109_fire.jpg,FIRE
smartforest-dev-ptz_20211026-191119_fire.jpg,FIRE
smartforest-dev-ptz_20211026-191130_fire.jpg,FIRE
smartforest-dev-ptz_20211026-191140_fire.jpg,FIRE
smartforest-dev-ptz_20211026-191212_fire.jpg,FIRE
smartforest-dev-ptz_20211026-191223_fire.jpg,FIRE
smartforest-dev-ptz_20211026-191233_fire.jpg,FIRE
smartforest-dev-ptz_20211026-191244_fire.jpg,FIRE
smartforest-dev-ptz_20211026-191305_fire.jpg,FIRE
smartforest-dev-ptz_20211026-191315_fire.jpg,FIRE
smartforest-dev-ptz_20211026-191326_fire.jpg,FIRE
smartforest-dev-ptz_20211026-191336_fire.jpg,FIRE
smartforest-dev-ptz_20211026-191347_fire.jpg,FIRE
smartforest-dev-ptz_20211026-191358_fire.jpg,FIRE
smartforest-dev-ptz_20211026-191419_fire.jpg,FIRE
smartforest-dev-ptz_20211026-191440_nofire.jpg,NOFIRE
smartforest-dev-ptz_20211026-191501_nofire.jpg,NOFIRE
smartforest-dev-ptz_20211026-191511_nofire.jpg,NOFIRE
smartforest-dev-ptz_20211026-191533_nofire.jpg,NOFIRE
smartforest-dev-ptz_20211026-191605_nofire.jpg,NOFIRE
smartforest-dev-ptz_20211026-191616_nofire.jpg,NOFIRE
smartforest-dev-ptz_20211026-191627_nofire.jpg,NOFIRE
smartforest-dev-ptz_20211026-191648_nofire.jpg,NOFIRE
smartforest-dev-ptz_20211026-191709_nofire.jpg,NOFIRE
smartforest-dev-ptz_20211026-191730_nofire.jpg,NOFIRE
smartforest-dev-ptz_20211026-191741_nofire.jpg,NOFIRE
smartforest-dev-ptz_20211026-191802_nofire.jpg,NOFIRE
smartforest-dev-ptz_20211026-191812_nofire.jpg,NOFIRE
smartforest-dev-ptz_20211026-191844_nofire.jpg,NOFIRE
smartforest-dev-ptz_20211026-191855_nofire.jpg,NOFIRE
smartforest-dev-ptz_20211026-192009_nofire.jpg,NOFIRE
smartforest-dev-ptz_20211026-192020_nofire.jpg,NOFIRE
smartforest-dev-ptz_20211026-192030_nofire.jpg,NOFIRE
smartforest-dev-ptz_20211026-192041_nofire.jpg,NOFIRE
smartforest-dev-ptz_20211026-192051_nofire.jpg,NOFIRE
smartforest-dev-ptz_20211026-192102_nofire.jpg,NOFIRE
smartforest-dev-ptz_20211026-192123_nofire.jpg,NOFIRE
smartforest-dev-ptz_20211026-192133_nofire.jpg,NOFIRE
smartforest-dev-ptz_20211026-192144_nofire.jpg,NOFIRE
smartforest-dev-ptz_20211026-192154_nofire.jpg,NOFIRE
smartforest-dev-ptz_20211026-192315_nofire.jpg,NOFIRE
smartforest-dev-ptz_20211026-192816_nofire.jpg,NOFIRE
